id ,name,price_origin,price_discount,inventory,sold_qty,description,discount_id,manufacturer_id,category_id
1,Bàn phím Logitech G213,1099000,1099000,,,"Logitech G213 chiếc bàn phím chơi game hiện đại có 5 chế độ chiếu sáng riêng trong phổ màu gồm khoảng 16,8 triệu màu. Thay đổi màu cho phù hợp với bố cục, các trò chơi cụ thể hoặc chỉ là để thể hiện màu sắc yêu thích ",,1,1
2,Bàn phím Logitech G913 TKL Lightspeed Wireless,5440000,5440000,,,G913 là một chiếc bàn phím cơ giá rẻ đặc biệt dành cho những ai tìm kiếm sự khác biệt. Có thể giá của nó không dễ chịu chút nào nhưng những gì nó đem lại thì thật sự xứng đáng.,,1,1
3,Bàn phím Asus ROG Strix Scope NX TKL DELUXE - Red Switch,3390000,3390000,,,"Cùng với thương hiệu Switch Cherry MX đến từ Đức giúp cho việc gõ phím mượt mà hơn hẳn. Bàn phím ROG Strix Scope TKL thiết kế hoàn hảo cho game FPS, bao phủ khung nhôm và được trang bị led Aura Sync bắt mắt. ",,2,1
4,Bàn phím Asus ROG Strix Flare,3990000,3990000,,,Làm cho những trận đấu của bạn thật bùng nổ với ROG Strix Flare - một bàn phím cơ có mọi thứ bạn muốn và hơn thế nữa. Cảm nhận sự hài lòng của mọi lần nhấn phím với switch Cherry MX nổi tiếng thế giới. Tận hưởng quyền truy cập tức thì vào các phím phương tiện chuyên dụng ở phía trên bên trái trong khi chơi game. Và trải nghiệm một mức độ cá nhân hóa vô song với huy hiệu có thể tùy chỉnh được chiếu sáng bởi ánh sáng RGB Aura Sync. Tự hào về sự tinh tế chơi game của bạn khi bạn thống trị chiến trường,,2,1
5,Bàn phím cơ HyperX Alloy Origins,2790000,2790000,,,Kingston HyperX Alloy Origins được đánh giá là chiếc bàn phím fullsize khá gọn gàng. Mọi hành trình trải nghiệm nhấn phím đều được tối ưu hóa hoàn chỉnh từ chính hãng,,3,1
6,Bàn phím cơ HyperX Alloy Origins 60 Pink,2290000,2290000,,,"HyperX Alloy Origins ™ 60 là bàn phím 60% cực kỳ tiện dụng, mang đến cho bạn nhiều không gian hơn để di chuyển chuột.",,3,1
7,Bàn phím cơ AKKO 3068B Plus Prunus Lannesiana,1990000,1990000,,,"AKKO 3068B Prunus Lannesiana dòng bàn phím cơ nhiều màu sắc giúp góc máy chơi game giả trí và làm việc thêm phần sinh động, ấn tượng. Người chơi có thể mang đi đến bất kỳ đâu nhờ vào thiết kế Tenkeyless nhỏ gọn, dễ dàng tương thích trên nhiều thiết bị,...Hứa hẹn đây sẽ là một trong những dòng bàn phím AKKO rất đáng trải nghiệm.",,4,1
8,Bàn phím cơ AKKO 5075B Plus Blue on White,2290000,2290000,,,"AKKO 5075B Plus Blue on White phá vỡ đi mọi quy tắc về một chiếc bàn phím Gaming. Sở hữu thiết kế vô cùng mềm mại, nhẹ nhàng với tông màu trắng với các chi tiết phối xanh độc đáo, ấn tượng. Layout vô cùng nhỏ gọn cùng nhiều tính năng nổi bật, bạn có thể sử dụng AKKO 5075B Plus ở bất kỳ đâu khi cần.",,4,1
9,Bàn phím Steelseries Apex 7,3990000,3990000,,,"Bàn phím cơ Apex 7 là kết hợp sự mượt mà của membrane switch với độ bền, hiệu suất và cảm giác thoải mái khi gõ, cho trải nghiệm chơi game tuyệt vời.",,5,1
10,Bàn phím Steelseries Apex PRO TKL,4690000,4690000,,,"Công tắc cơ học có thể điều chỉnh đầu tiên cho độ nhạy trên mỗi phím có thể tùy chỉnh ,phản hồi nhanh hơn gấp 8 lần, hoạt động nhanh hơn gấp 5 lần và độ bền gấp 2 lần bàn phím thông thường sử dụng switch tiêu chuẩn hay Speed switch. Tốc độ phản hồi chỉ là 0,7 ms với hành trình phím cực nhạy 0.4mm. Bá chủ game FPS chính là bàn phím này.",,5,1
